ax,ay,az
8656,220,-1426
8702,196,-1428
8752,196,-1492
8632,170,-1478
8678,194,-1516
8682,218,-1594
8688,214,-1454
8632,154,-1324
8672,210,-1486
8686,182,-1462
8686,152,-1362
8674,202,-1392
8660,182,-1440
8740,204,-1434
8682,138,-1510
8714,168,-1412
8654,244,-1520
8714,192,-1488
8584,172,-1542
8666,154,-1508
8736,162,-1452
8720,208,-1434
8640,162,-1510
8714,190,-1506
8686,146,-1536
8726,196,-1482
8764,196,-1450
8688,184,-1452
8686,194,-1440
8726,184,-1474
8690,222,-1540
8682,198,-1496
8680,174,-1414
8700,196,-1410
8660,132,-1384
8684,226,-1610
8684,146,-1486
8686,170,-1460
8686,204,-1348
8710,168,-1468
8744,214,-1492
8656,162,-1448
8684,194,-1484
8682,212,-1626
8724,214,-1532
8682,194,-1516
8664,188,-1508
8672,162,-1598
8704,188,-1468
8700,190,-1466
8744,156,-1574
8652,164,-1390
8698,156,-1414
8740,156,-1520
8674,152,-1566
8768,190,-1560
8738,194,-1484
8714,202,-1492
8706,170,-1420
8694,234,-1508
8668,182,-1590
8682,164,-1612
8670,194,-1506
8618,134,-1462
8660,184,-1500
8666,160,-1526
8730,204,-1574
8684,196,-1516
8720,182,-1518
8674,216,-1570
8724,122,-1418
8674,172,-1482
8746,174,-1628
8694,208,-1676
8710,136,-1482
8728,172,-1448
8760,124,-1510
8716,204,-1662
8646,144,-1640
8720,146,-1466
8716,216,-1500
8680,224,-1540
8716,170,-1496
8624,190,-1552
8684,150,-1530
8650,154,-1562
8670,152,-1422
8668,214,-1408
8650,144,-1654
8734,168,-1636
8678,196,-1542
8672,146,-1418
8678,192,-1498
8678,184,-1592
8686,166,-1552
8730,204,-1498
8760,200,-1640
8634,172,-1636
8692,200,-1432
8642,196,-1546
8710,236,-1564
8702,212,-1574
8688,204,-1536
8642,194,-1488
8654,174,-1458
8776,186,-1482
8686,186,-1660
8678,140,-1630
8640,192,-1552
8710,190,-1568
8664,198,-1442
8726,168,-1534
8718,196,-1606
8648,166,-1630
8714,212,-1476
8696,148,-1470
8724,184,-1550
8718,236,-1680
8684,244,-1708
8644,176,-1582
8678,216,-1608
8656,230,-1502
8672,164,-1476
8672,198,-1612
8676,202,-1522
8726,126,-1652
8672,248,-1592
8648,152,-1464
8660,200,-1594
8676,180,-1640
8708,166,-1592
8672,178,-1630
8728,142,-1520
8690,180,-1530
8694,194,-1514
8674,162,-1642
8654,160,-1512
8718,196,-1558
8716,170,-1604
8726,168,-1594
8682,184,-1488
8740,170,-1520
8734,184,-1558
8740,192,-1610
8686,158,-1500
8722,156,-1550
8742,176,-1646
8698,176,-1568
8716,174,-1556
8682,192,-1484
8650,180,-1518
8714,154,-1618
8674,192,-1594
8648,212,-1542
8726,168,-1636
8672,162,-1544
8690,192,-1468
8704,152,-1524
8698,198,-1598
8672,168,-1556
8678,180,-1576
8684,146,-1524
8692,204,-1518
8666,150,-1496
8700,150,-1696
8700,150,-1670
8680,162,-1626
8696,208,-1488
8696,168,-1486
8672,170,-1622
8692,204,-1568
8656,146,-1622
8676,172,-1560
8678,194,-1562
8702,210,-1530
8730,154,-1622
8648,168,-1584
8718,158,-1600
8712,172,-1548
8746,216,-1478
8728,200,-1556
8696,174,-1604
8716,198,-1612
8690,146,-1586
8674,154,-1402
8682,162,-1568
8714,216,-1660
8624,176,-1578
8672,150,-1576
8688,188,-1528
8658,208,-1518
8694,170,-1484
8664,164,-1610
8658,170,-1670
8708,132,-1550
8694,178,-1574
8708,202,-1554
8716,200,-1454
8666,214,-1506
8682,182,-1604
8676,166,-1684
8672,154,-1596
8714,166,-1534
8652,156,-1494
8684,200,-1618
8716,216,-1560
8652,208,-1546
8656,160,-1620
8666,152,-1546
8696,214,-1604
8686,142,-1562
8712,152,-1568
8690,182,-1604
8672,272,-1600
8716,162,-1590
8700,194,-1674
8704,170,-1518
8694,168,-1530
8694,182,-1580
8656,166,-1732
8704,200,-1678
8710,148,-1598
8710,140,-1622
8742,178,-1618
8718,168,-1546
8690,206,-1498
8664,234,-1736
8634,112,-1588
8700,176,-1584
8670,246,-1628
8672,218,-1576
8622,230,-1582
8720,184,-1644
8650,174,-1650
8636,204,-1572
8680,220,-1562
8700,176,-1638
8710,184,-1546
8688,218,-1492
8736,198,-1504
8726,180,-1578
8662,204,-1582
8734,172,-1620
8658,168,-1578
8688,182,-1588
8730,192,-1574
8684,202,-1492
8640,192,-1618
8692,166,-1724
8694,180,-1510
8676,176,-1486
8682,162,-1644
8654,236,-1534
8734,206,-1670
8742,168,-1534
8680,174,-1560
8708,178,-1560
8744,202,-1652
8636,152,-1568
8640,180,-1608
8740,188,-1488
8728,184,-1524
8696,182,-1718
8724,150,-1700
8714,162,-1562
8672,154,-1358
8710,218,-1562
8772,162,-1718
8674,156,-1612
8672,136,-1536
8720,188,-1540
8684,170,-1592
8696,208,-1578
8674,208,-1520
8652,192,-1554
8710,202,-1648
8734,202,-1538
8660,140,-1426
8676,186,-1660
8686,146,-1588
8686,202,-1540
8666,178,-1500
8672,152,-1506
8672,150,-1690
8704,178,-1648
8678,194,-1486
8666,176,-1428
8700,168,-1508
8664,146,-1598
8740,160,-1554
8682,214,-1526
8722,148,-1602
8636,180,-1530
8624,206,-1498
8708,198,-1584
8708,198,-1628
8656,174,-1606
8686,184,-1542
8748,128,-1546
8676,170,-1488
8646,166,-1550
8656,144,-1582
8712,170,-1558
8744,148,-1548
8626,100,-1518
8688,206,-1616
8666,198,-1558
8634,214,-1572
8694,168,-1548
8666,140,-1544
8664,186,-1700
8686,192,-1716
8754,230,-1518
8634,224,-1560
8756,162,-1502
8716,250,-1574
8718,154,-1640
8678,158,-1576
8672,194,-1528
8712,176,-1408
8670,158,-1632
8686,214,-1692
8712,214,-1430
8680,144,-1426
8712,152,-1554
8658,188,-1746
8676,170,-1500
8734,228,-1588
8664,192,-1534
8676,200,-1610
8708,180,-1588
8698,178,-1606
8680,152,-1558
8708,170,-1564
8740,222,-1554
8696,168,-1452
8688,174,-1630
8684,132,-1656
8668,200,-1534
8684,132,-1512
8718,194,-1524
8680,186,-1604
8666,166,-1520
8694,208,-1620
8722,180,-1502
8708,136,-1572
8696,190,-1484
8646,238,-1462
8696,156,-1580
8700,194,-1586
8744,152,-1416
8672,164,-1452
8704,160,-1494
8624,186,-1710
8714,214,-1626
8680,196,-1488
8682,180,-1458
8722,182,-1572
8746,194,-1532
8694,194,-1628
8714,168,-1630
8782,200,-1638
8722,170,-1604
8648,214,-1280
8728,154,-1478
8742,130,-1580
8696,206,-1624
8776,158,-1628
8658,100,-1586
8770,182,-1528
8754,220,-1236
8486,174,-1310
8812,242,-1072
8728,122,-722
8670,146,-832
8780,90,-988
8738,32,-906
8562,126,-764
8426,-2,308
8300,138,812
8332,34,664
8086,146,918
7726,44,1594
7562,140,2016
7344,96,2366
6312,38,3006
5728,10,4536
5652,230,5442
4946,64,5284
4278,34,5974
4154,164,6312
3060,36,6326
2608,214,5248
3178,198,6288
1658,156,7858
164,-46,11264
600,-384,6322
2172,202,6754
1200,268,4798
3112,-476,7172
-236,856,10050
1822,250,7232
1538,100,6426
-1202,986,7410
1680,-258,7666
-254,156,8080
-1196,340,8670
-724,344,8988
-2126,-10,7456
-1930,128,4940
-3426,-228,4564
-5108,128,3804
-4644,520,4140
-5266,204,4064
-5618,236,4474
-5668,-208,3324
-3470,86,2258
-4668,456,1206
-9506,1370,5664
-6864,-196,1754
-6986,472,1168
-6836,-236,1856
-6310,-10,2304
-6512,-4,2528
-8962,168,2004
-7116,76,446
-7354,-360,994
-7686,68,1546
-7648,-48,-52
-8206,322,-646
-7274,128,-510
-7570,-158,156
-8140,-58,-1018
-7690,238,-1584
-7752,118,-1434
-7646,78,-1586
-7702,84,-1820
-7688,96,-1664
-7698,64,-1444
-7696,30,-1316
-7644,96,-1340
-7696,104,-1622
-7748,142,-1702
-7714,176,-1578
-7662,144,-1518
-7690,66,-1414
-7664,156,-1372
-7672,86,-1478
-7658,122,-1496
-7614,112,-1546
-7630,158,-1532
-7688,118,-1512
-7716,106,-1652
-7712,132,-1628
-7604,120,-1750
-7694,148,-1632
-7670,176,-1732
-7674,126,-1678
-7658,146,-1616
