ax,ay,az
614,-688,6848
472,-668,7032
378,-672,7092
96,-818,7090
122,-668,7134
410,-598,7156
648,-648,7082
664,-700,6924
6118,6114,10174
5602,2722,8798
-4216,1596,5686
-2780,-5430,4358
-2046,-5388,6348
-684,-1048,8018
1064,-74,8412
1474,-642,7364
1110,-454,5944
1122,-550,6314
1204,-846,6748
558,-1018,6802
176,-958,6784
130,-770,6926
244,-668,6860
342,-648,6700
328,-690,6830
184,-668,6950
22,-738,7144
24,-708,7216
110,-706,7158
204,-610,6992
252,-722,7136
230,-706,7106
202,-682,7014
376,-732,6924
402,-832,7024
406,-840,7002
448,-786,6912
548,-756,6778
396,-784,6892
354,-786,7030
342,-746,6958
476,-742,6910
514,-768,6812
548,-810,6966
498,-814,6924
626,-850,6896
570,-784,6930
608,-628,6914
704,-632,7086
708,-758,7270
460,-792,7042
456,-660,7166
696,-632,7076
980,-764,7154
750,-758,6952
792,-642,6938
752,-638,7084
740,-710,7056
892,-764,7266
828,-650,7408
522,-642,7380
520,-722,7584
742,-796,7382
638,-856,6832
716,-962,6684
1002,-1056,6646
1244,-1100,6936
1216,-936,7108
1132,-760,6854
1404,-756,6750
1708,-932,6784
2872,-658,3654
-2054,-1744,4380
1448,-1882,7282
2932,-622,7226
2950,-626,6940
1926,-976,6650
1576,-1284,6496
1984,-1266,6380
2170,-1410,6486
1974,-1570,6640
1812,-1508,6768
1956,-1406,6706
2014,-1230,6462
2180,-1250,6520
1984,-1164,6682
1882,-1002,6960
1776,-978,7168
1674,-1070,6976
1672,-952,6868
1734,-970,6778
1806,-1024,6778
1872,-1044,6758
1904,-1022,6872
1858,-1038,6756
1862,-1130,6762
2032,-1078,6956
2128,-1054,6926
2084,-1084,6898
1890,-1062,6686
1928,-1032,6644
1834,-1026,6624
1798,-934,6684
1716,-932,6914
1626,-872,6918
1632,-918,6850
1720,-1036,6464
2046,-1018,6550
2158,-1030,6852
1942,-1038,7030
1632,-990,6976
1646,-872,6744
1884,-770,6640
1986,-796,6646
1910,-676,6648
1914,-648,7054
1808,-800,6984
1638,-768,6890
1672,-818,6990
1612,-800,7332
1440,-782,7538
1228,-732,7616
1312,-580,7530
1340,-584,7448
2004,-1896,4436
5926,2670,9752
2894,3346,13634
-2108,378,13226
-4108,-676,10140
-1728,-502,7650
1542,-438,6808
3476,180,6094
4048,-130,5110
3818,-1002,4598
3224,-448,4986
2388,-320,6224
1482,-330,7242
766,-448,7686
400,-492,7810
432,-452,7560
1036,-446,7030
1460,-506,6576
1606,-586,6242
1774,-670,6146
1818,-570,6430
1570,-514,6730
1452,-524,6972
1534,-560,7046
1712,-718,6976
1854,-702,6900
1784,-568,6794
1652,-510,6908
1690,-420,7122
1622,-468,7048
1638,-520,7026
1602,-474,6952
